status,label
উম্মাহর বিপর্যয়কালে সতর্কতা অবলম্বন ও মুক্তির উপায় ০৭   লোভ থেকে আত্মরক্ষা এবং ফিতনা সম্পর্কে সতর্ক থাকাঃ  হযরত আবু সাঈদ খুদরী রাদিয়াল্লাহু আনহু থেকে বর্ণিত। রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেছেনঃ দুনিয়াটা একটা শ্যামল সবুজ সুমিষ্ট বস্তু। আল্লাহ এখানে তোমাদের প্রতিনিধি বানিয়ে পাঠিয়েছেন এবং তোমরা কি করছো তা দেখছেন। সুতরাং এই দুনিয়ায় নিজেদেরকে লোভলালসা থেকে আত্মরক্ষা করো এবং ফিতনা সম্পর্কে সতর্ক থাকো।   সহীহ মুসলিম,1
"নবুওয়াতের নমুনায় মক্তব ভিত্তিক দ্বীনি কার্যক্রমের ইতিহাস ডাঃ গাজী মুহাম্মাদ নজরুল ইসলাম সমস্ত প্রশংসা আল্লাহর জন্য যিনি রব্বুল আলামীন। দুরুদ ও সালাম রসূলুল্লাহ সল্লাল্লাহু আলাইহি ওয়াসাল্লামএর প্রতি,তার পরিবারবর্গ,বংশধর,সাহাবায়ে কিরাম রাদিয়াল্লাহু আনহুম ও সালেহীণ রহমাতুল্লাহি আলাইহিমগণের প্রতি। আমরা সাক্ষ্য দিচ্ছি যে,আল্লাহ ছাড়া কোন ইলাহ নাই এবং মুহাম্মাদ স আল্লাহর বান্দা ও তাঁর রসূল। নিশ্চয়ই শুভ পরিণতি কেবলমাত্র রসূলুল্লাহ সল্লাল্লাহু আলাইহি ওয়াসাল্লাম, খুলাফায়ে রাশিদীন, আহলে বাইত এবং...",1
আমরা আমরাইত।,5
"নবুওয়াতের নমুনায় দাওয়াত ও তাবলীগ ডাঃ গাজী মুহাম্মাদ নজরুল ইসলাম সমস্ত প্রশংসা আল্লাহ তায়ালার জন্য যিনি রব্বুল আলামীন। দুরুদ ও সালাম রসূলুল্লাহ্ সল্লালাহু আলাইহি ওয়াসাল্লাম এর প্রতি যিনি রহমাতুল্লিল আলামীন, তাঁর পরিবারবর্গ, সাহাবায়ে কিরাম রাদিয়াল্লাহু আনহুম এবং সালেহীন রগণের প্রতি। আমরা সাক্ষ্য দিচ্ছি যে, আল্লাহ ছাড়া কোন ইলাহ নাই। আমরা আরও সাক্ষ্য দিচ্ছি যে, মুহাম্মাদ সল্লালাহু আলাইহি ওয়াসাল্লাম তাঁর বান্দাহ ও রসূল। নিশ্চয়ই শুভ পরিণতি শুধুমাত্র মুত্তাকীনদের জন্যই নির্ধারিত। দুনিয়ার বুকে...",1
", . নাকি !! দেখা যাক ২০১৩ ব্যাচ এর জন্য হয় নাকি )",5
আডডা ফান মাসতী অভিমান ফিলিংস,5
সমস্যা কি গোমূত্র খাইলেই পারে আমরা কেউ মানা করছি নাকি!,3
"সমাজ জীবনের পরিশুদ্ধির জন্য উম্মাহর মাঝে সার্বজনীন দাওয়াত ও তাবলীগঃ   উম্মাহর মধ্যে সার্বজনীন পরিপূর্ণভাবে দ্বীনি দাওয়াতের লক্ষ্যে সর্বদা একটি অংশকে তৎপর থাকতে হবে। যারা মুলত অমুসলিমদের কাছে দ্বীনের দাওয়াত পেশ করবেন। তাদের কথা, কাজ, চরিত্র ও আচরণ হতে হবে ইসলামের বাস্তব মডেল, যা শুধুমাত্র দেখেই অমুসলিমগণ ইসলাম সম্পর্কে ধারণা লাভ করতে পারেন। আর এ অংশটিই মূলতঃ দুনিয়া ও আখিরাতে চুড়ান্ত সফলতা লাভ করতে সক্ষম হবে। আল্লাহ...",1
কি বলে রে।তাইলে ত আজকেই বিয়ে কইরা ফালামু। বাসায় বলতেসি আজকেই যেন মেয়ে দেখে।আর আপনারাও আমার জন্য একটা পাত্রি দেইখেন।,5
ফেইসবুক নামক ভার্চুয়াল জগতটার খারাপ দিকের চেয়ে ভালো দিক গুলোই সবসময় আমার বেশি চোখে পরেছে! কারণ এই ফেইসবুকই আমাকে পরিচয় করিয়ে দিয়েছে এমন কিছু মানুষের সাথে যাদের সান্নিধ্য না পেলে হয়তো কিছুটা অপূর্ণতা থেকেই যেত! তাদেরই একজন . আপু নিঃসন্দেহে ফেইসবুকে সবচেয়ে বেশি প্যারা দিয়েছি আপুটাকে।.,5
"(ডান থেকে)তরুণ লেখক, সৃজনশীল মননের অধিকারী বন্ধু মিকসেতু মিঠু, বহুমুখী প্রতিভার অধিকারী, গভীর জীবনবোধের সহজ ব্যাখ্যাকারী বন্ধুবর আব্দুস সবুর তানু এবং আমি। , . #আড্ডা #বন্ধুবান্ধব #প্রচুরআড্ডাদিতেহবে বন্ধুরা আছে বলেই মন-খারাপ ধারে কাছে আসার সাহস পায় না.",5
যা আদর্শহীনরা প্রতিনিয়ত ছাত্রশিবিরের বিরুদ্ধে ব্যবহার করছে।,4
আমিও এই লেন এ বসতে চাই. ( আমিও থাকতে পারতাম আজ.,5
বসেরা যেভাবে চিন্তা করে .,5
"আল্লাহ সবার চেয়ে বড়নিঃসন্দেহে সালাত মানুষকে অশ্লীলতা ও মন্দ কাজ থেকে বিরত রাখে [সূরা আন-কাবুত, আয়াত-৪৫]",1
"তারার মেলা, -)",5
"আসন্ন ইউ,পি নির্বাচনে ২ নং শ্রীপুর (দঃ) ইউ, পি,থেকে বাংলাদেশ আওয়ামীলীগ কর্তৃক নির্বাচিত চেয়ারম্যান পদপ্রার্থী বিশ্বজিৎ সরকারকে নৌকা মার্কায় ভোট দিয়ে ইউনিয়নবাসীর সেবা করার সুযোগ দিন",4
মন মাঝিরে বলনা কোথায় মন মাঝিরে আয় ফিরে আয়,5
"আজকে তুমি রাগ করছো , দুঃখ পাবো তাতে । কালকে যখন মরে যাবো , রাগ দেখাবা কাকে ?",5
আমাদের জীবনে সবচেয়ে গুরুত্বপূর্ণ দায়িত্ব হল কুরআন শিক্ষা করা কুরআন কিভাবে পাঠ করতে হবেঃ  কুরআনের একটি নিজস্ব ছন্দ রয়েছ। কুরআনকে তার নিজস্বশৈলী অনুসরণ করতে হবে। কুরআন নাজিলের সময়কার উচ্চাংগের পদ্য ছন্দে নাজিল করা হয়েছ। গদ্য ছন্দে বক্তৃতার মত কুরআন পাঠ করা যাবে না। আবার গানের সুরেও পাঠ করা যাবে না। মহান আল্লাহ তায়ালা তারতীলের সাথে কুরআন তিলাওয়াতের নির্দেশ দিয়েছেন। নামাজের মাঝে কুরআন তিলাওয়াত করা ফরজ। তাই কুরআনের নিজস্ব পদ্য ছন্দে তারতীলের সাথে কুরআন পাঠ করতে হবে।...,1
চলছে ধুমধারাক্কা পড়াশুনা,5
"মুমিনের কামনাবাসনা হবে রসূলুল্লাহ সল্লাল্লাহু আলাইহি ওয়াসাল্লামএর সুন্নাতের নমুনাঃ   হযরত আব্দুল্লাহ ইবনে আমর রাদিয়াল্লাহু আনহু থেকে বর্ণিত। তিনি বলেন, রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম বলেছেনঃ তোমরা ততক্ষণ পর্যন্ত কেউ পরিপূর্ণ ঈমানদার হতে পারবে না, যতক্ষণ না তার কামনাবাসনা আমার আনীত আদর্শের অনুবর্তী হবে। শারহুস সুন্নাহ হযরত আবূ হুরায়রা রাদিয়াল্লাহু আনহু থেকে বর্ণিত। রাসূলুল্লাহ...",1
"দাদা, খেয়ে এসেছেন নাকি বাসায় গিয়ে খাবেন? - দাদা বাসায় গিয়ে খাবো। দাদা, পরের বার আসলে কিন্তু খেয়ে যাবেন। - দাদা পরের বার আসলে অবশ্যই খাবার সাথে করে নিয়ে আসবো। কি যে বলেন না দাদা। আপনারা কিন্তু সবসময়ই আমাদের সাথে মজা করেন। - আপনারাও কম যান না দাদা। কলকাতা সম্পর্কে আমাদের দেশে এই কৌতুকটি সবচেয়ে বেশি জনপ্রিয়। তবে কলকাতার বাজারে মাছ, মাংস, মিষ্টি ইত্যাদি পিস হিসেবে বিক্রি করাটা আমার কাছে অনেক ভালো লেগেছে। আমি একা মানুষ। এক কেজি মিষ্টি কিনে আমি কি করবো? আমার জন্য এক পিস বা দুই পিস-ই যথেষ্ট। আমি একা.",2
"যুগান্তর, বিডিনিউজসহ কিছু গণমাধ্যমে ছাত্রশিবিরকে জড়িয়ে মিথ্যা ও ভিত্তিহীন খবর প্রকাশের তীব্র নিন্দা ও প্রতিবাদ",4
"ক্যামেরার পেছনে ছেড়া দ্বীপ , ভি",2
আপনার মতো কিছু দেশদ্রহির জন্য পোরা হিন্দু জাতিকে খারাপ বানিয়ে ফেলে।,3
"আজ হঠাৎ করে এই ধরণের বক্তব্য যে উদ্দ্যেশ্য প্রণোদিত, তাতে সন্দেহ নাই।",4
জ্বরে পুইড়া খাইয়া ফালাইতাসে. .!,5
আমার একমাএ দাদু। সবাই আমার দাদুর জন্য আর্শিবাদ করো।,5
বাংলাদেশে হিন্দুদের আধিপত্য বিস্তার করতে দেওয়া হবে না। মুসলিম ভাইয়ারা  যে যে দলই করেন সবাই নিজের ধমে'র জন্য হিন্দুদের বিরুধে রুখে দাড়ান।,3
আজ বিকাল ৫ টায় ঢাকার রবীন্দ্র সরোবরে আমাদের আবৃত্তির স্টেজ প্রোগাম- স্বদেশ তুমি এক মুঠো রোদ। স্বাধীনতা দিবস উপলক্ষে আবৃত্তি একাডেমীর ৪২ তম প্রযোজনার ২য় মঞ্চায়ন। সবাইকে প্রোগ্রামটি দেখার জন্য বিকাল ৫ টায় ঢাকার রবীন্দ্র সরোবরেআমন্ত্রণ।,5
পুলিশ শিয়া মসজিদে হামলার প্রকৃত ঘটনা আড়াল করতে চাইছে-শিবির,4
"ক্যামেরার পেছনে ছেড়া দ্বীপ , ভি",2
পেট পূজারি	ধর্ম ব্যবসায়ী আলেমদের কারনে এই পরিনিতি,3
মূলত গোপন রাজনৈতিক এজেন্ডা বাস্তবায়ন করতেই প্রতিবেদক ছাত্রশিবিরকে টার্গেট করে পরিকল্পিত ভাবে মিথ্যাচার করেছে।,4
মুমিনদের মাঝে বন্ধুত্ব ও ভালবাসার লক্ষ্যঃ ঐক্যবদ্ধভাবে আল্লাহর রজ্জু আঁকড়ে ধরা।  মহান আল্লাহ তায়ালা বলেন  তোমরা ঐক্যবদ্ধভাবে আল্লাহর রজ্জু ইসলাম ও কুরআনকে আঁকড়ে ধর এবং ভিন্ন ভিন্ন দলে বিভক্ত হয়ো না। তোমাদের...,1
মালাউন মরসে ভাল হইসে,3
কুমিল্লার ছেলে. সব সম্ভব.,5
কর্মাসে যারা পড়ালেখা করে তাদের মন-মানসিকতা পুরাই ভিন্ন। অাপনি যত না বিজ্ঞান এবং মানবিক শাখার স্টুডেন্টদের দেখবেন তারা হয়ত পড়ালেখার ক্ষেত্রে খুব সিরিয়াস ভাব দেখায়। বিজ্ঞান শাখার স্টুডেন্টরা ভাবে তারা তাদের স্টাডি খুব কঠিন অামরাই- সেরা। মানবিক শাখার স্টুডেন্টরা ভাবায় যে- অামরা কত কিছুর কথা মনে রাখতে হয়-তাই অামরাই সেরা। কখনো কর্মাসের স্টুডেন্টরা বলে না অামরাই সেরা। ক্লাস ৯ম থেকে একজন কর্মাসের স্টুডেন্টের যাত্রা শুরু এবং অর্নাস পর্যন্ত সে তার মত করে পড়তে পারে। তার স্টাডির সাথে একটা কথাই জড়িত সেটা-.,5
শেষের শুরু #,5
> ()ঘুরে আসুন বিছানাকান্দির জমজ ভাই লাকমাছড়া থেকেঃ টিওবিতেই লাকমাছড়ার সন্ধান পাই তাই সুনামগঞ্জ ট্যুরে গিয়ে আর মিস করিনি.দেখতে হুবুহু বিছানাকান্দি শুদু পর্যটক এর আগমন হাতে গোনা পাশাপাশি আরো একটা কারন হচ্ছে জায়গাটা নাকি ভারতীয় অংশে তাই বিজিবি খুব কড়াকড়ি আমরা প্রায় অনেক্ষন ছিলাম কিন্ত শেষ মুহুর্তে এসে.,2
খুব সম্ভবত নিদাহাস ট্রফির শুরুতেও সাকিবকে পাওয়া যাচ্ছে না। বাংলাদেশ ৪ টি ম্যাচ খেলবে সেখানে। আর প্রথম ৩ টি ম্যাচে না খেললেই টিটুয়েন্টি অলরাউন্ডার র্যাংকিংয়ে গত ৪ বছরের মধ্যে প্রথম বারের মত ৩ নাম্বারে নেমে যাবে সাকিব। আর গত ৬ বছরের মধ্যে প্রথম বারের মত সাকিবের অলরাউন্ডার রেটিং নেমে যাবে ৩০০ এর নিচে।,0
প্রতি ঈদে এককালে নানুবাড়ি বেড়াইতে যাইতাম. এবার নানু নাই.,2
"টেলিফিল্মঃ মনসুবা জংশন অভিনয়ঃ তাহসান, তিশা প্রমুখ (একটা ডাইনি আছে সে হল ভিলেন, তার নাম জানিনা)। দেখা শেষে অনুভুতিঃ অসাম! ! শিক্ষাঃ মনের কথা সাহসের সাথে মুখ ফুটে বলতে হবে। বাবা মার ইচ্ছাই সব এমনটা ভাবা ঠিক নয়। ! [বিঃ দ্রঃ তাহসান এর একটি গান ও আছে, ব্যাকগ্রাউনড মিউজিক টা অসাম!]",5
মুম্বাই ইন্ডিয়ান্সের অফিসিয়াল পেইজের এডমিনরা এখন একটু রেস্ট নিয়া নিক। ম্যাচের পর লাইকের ঝড় শুরু হবে,0
"আল্লাহ তায়ালার সন্তোষ ও মহব্বত কতিপয় সহজ উপায় ডাঃ গাজী মুহাম্মাদ নজরুল ইসলাম সমস্ত প্রশংসা আল্লাহর জন্য যিনি রব্বুল আলামীন। দুরুদ ও সালাম রসূলুল্লাহ্ সল্লাল্লাহু আলাইহি ওয়া সাল্লাম এর প্রতি, তার পরিবারবর্গ, বংশধর, সাহাবায়ে কিরাম রাদিয়াল্লাহু আনহুম ও সালেহীণ রহমাতুল্লাহি আলাইহিমগণের প্রতি। আমরা সাক্ষ্য দিচ্ছি যে, আল্লাহ ছাড়া কোন ইলাহ নাই এবং মুহাম্মাদ স আল্লাহর বান্দা ও রসূল। নিশ্চয়ই শুভ পরিণতি কেবলমাত্র রসূলুল্লাহ সল্লাল্লাহু আলাইহি ওয়াসাল্লাম, খুলাফায়ে রাশিদীন, আহলে বাইত এবং সাহাবা...",1
ইহুদীদের এত কুটচাল করে কি ফায়দা হবে ?  কাফের দাজ্জালের পথ পরিস্কার করার জন্যই কি এত ব্যবস্থা ?  ইহুদীরা কেন ভুলে যায়?  ইং শা আল্লাহ  কাফের দাজ্জাল আসার আগেই ইমাম মাহদী [আঃ] সমস্ত খ্রিষ্টান জগতকে মুসলমানদের পায়ের নিচে নিয়ে আসবে ।  আলহামদুলিল্লাহ  খ্রিষ্টানদের রাজ্য শাষনের স্বাদ চিরতরে মিটে যাবে।এই কথা সহীহ হাদীসে স্পষ্ট বর্নিত আছে।,3
এখনো তার ব্যতিক্রম হবে না। আমরা বিশ্বাস করি বাতিল পন্থা সময়ের ব্যবধানে আদর্শিক শক্তির কাছে অবশ্যই পরাজিত হবে।,4
"জীবনের সকল পর্যায়ে পরিশুদ্ধির দায়িত্ব অবহেলার ভয়াবহ পরিণামঃ  হযরত আবু বকর ছিদ্দিক রাদিয়াল্লাহু আনহু থেকে বর্ণিত। তিনি বলেন, আমি রাসুল সাল্লাল্লাহু আলাইহি ওয়াসাল্লাম কে বলতে শুনেছি, নিশ্চয়ই মানুষ যখন কোন অপছন্দ কথা বা কর্ম লক্ষ্য করে তা প্রতিরোধ করার চেষ্টা করে না, অচিরেই আল্লাহ তাদের সকলকে শাস্তি দিবেন। অন্য বর্ণনায় রয়েছে, যখন কোন সম্প্রদায়ের মাঝে পাপ হতে থাকে এবং প্রতিরোধ করতে সক্ষম ব্যক্তিরা প্রতিরোধ না করে, তখন আল্লাহ সকলকেই শাস্তি দেন।   তিরমিজি ও আবু দাউদ",1
২য় ইনিংসে নতুন করে ওপেনার না নামাইয়া মাঠে থাকা রুবেলশুভাশিষরে নাইটওয়াচম্যান হিসেবে ওপেনিং করালেই তো পারে।,0
রাত তখন ৮টার মতো হবে। সেদিন বিষাদের গায়ে একমুঠো প্রশান্তির ছোঁয়া দিতে আমরা কজন ছুটে গিয়েছিলাম সুরমা নদীর পাড়ে। নিয়মানুযায়ী আমরা মাঝির সাথে কথা বলে নৌকা ঠিক করলাম। তারপর বেরিয়ে পড়লাম সাধের নৌকা ভ্রমণে। আর তারপর. ),2
বিডিক্রিকটিমের সঙ্গী হলো আজকের ডিল.,5
২০১৫ সালের সকল ডাক্তার এইরকম ই হবে.,5
"( ) অফিস বন্ধ হইলে আমরা ঘুরতে যাইতাম, সিলেট যাইত। . , .",2
দিতে আমরা ফরমাল হয়ে গেলাম,5
গত বছরের পুজোতে তোলা ছবি। আমার সব এফ. বি বন্ধুদের শারদীয় শুভেচ্ছা।,1
"আল্লাহ তাআলার নিকট সর্বোত্তম বান্দাদের কিছু পরিচয় ডাঃ গাজী মুহাম্মাদ নজরুল ইসলাম সমস্ত প্রশংসা আল্লাহ তায়ালার জন্য যিনি রব্বুল আলামীন। দুরদ ও সালাম রসূলুল্লাহ সল্লাল্লাহু আলাইহি ওয়াসাল্লাম এর প্রতি যিনি রহমাতুল্লিল আলামীন, তাঁর পরিবারবর্গ, তাঁর বংশধর, তাঁর সাহাবায়ে কিরাম রাদিআল্লাহু আনহুম ও সালিহীন র বান্দাগণের প্রতি। আমরা সাক্ষ্য দিচ্ছি যে, আল্লাহ ছাড়া কোন ইলাহ নাই এবং মুহাম্মাদ সল্লাল্লাহু আলাইহি ওয়াসাল্লাম আল্লাহর বান্দা ও তার রসুল। নিশ্চয়ই শুভ পরিণতি কেবলমাত্র মুত্তাকীনদের জন্যই...",1
"১৪ই ফেব্রুয়ারী অনেক ফেইক অ্যাকাউন্টের জন্মদিন। দেখে নিন আপনার অ্যাকাউন্ট ক্লিন কিনা . বিঃদ্রঃ যাদের আসলেই আজকে জন্মদিন, তাদের কাছে ক্ষমাপ্রার্থী, কিন্তু ভয় পাবার কিছু নেই।",5
যা সম্পূর্ণ বানোয়াট এবং সাজানো নাটক। বাসাটি জামায়াতে ইসলামীর অস্থায়ী অফিস ছিল যা সরকারের জুলুম নির্যাতনের কারণে দীর্ঘদিন যাবৎ বন্ধ আছে।,4
আধুনিক যুগের নীল চাষ। শ্রীমঙ্গলের চা বাগান ঘুরতে তো সবাই যান এখন চা বাগানের কান্না দেখেন।,2
"সুন্নাত জিন্দাকারীগণ পরকালে রসূলুল্লাহ্ সল্লালাহু আলাইহি ওয়াসাল্লাম এর সাথেই থাকবেনঃ  হযরত আনাস রাদিয়াল্লাহু আনহু থেকে বর্ণিত। রাসূলুল্লাহ্ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম বলেছেন  যে আমার কোন সুন্নাত জিন্দা করল সে যেন আমাকে জিন্দা করল। আর যে আমাকে জিন্দা করল সে আমার সাথে জান্নাতে যাবে। তিরমিজীঃ ২য় খন্ড, পৃষ্ঠা৯৬ অপর বর্ণনায় রয়েছেঃ হযরত আনাস রাদিয়াল্লাহুআনহু থেকে বর্ণিত। তিনি বলেন, রাসূলুল্লাহ...",1
"মহান বিজয় দিবস উপক্ষে ক্রিকেট টুর্নামেন্টের আয়োজন করে ছাত্রশিবির বরিশাল মহানগরী শাখা"",",4
মাঝেমাঝে দুঃস্বপ্নও হাস্যকর সুন্দর হয়! আবার ঘুমিয়ে বাকিটুকুন দেখতে ইচ্ছা করে। কিন্তু স্বপ্ন রিজিউম এর তো কোনো উপায় নাই।,5
ও ঢাকা টাইমসসহ কিছু সংবাদমাধ্যম। প্রতিবেদনে আজগুবি গল্প সাজিয়ে তথাকথিত পুলিশের সাথে বন্দুকযুদ্ধে নিহত জঙ্গি মারজানের সাথে ছাত্রশিবিরকে জড়িয়ে অপপ্রচার করা হয়েছে।,4
কৃষ্ণ করলে নীলা আমরা করলে বিলা। হাইরে ভগবান তোরও আবার লুচ্চামী করা লাগে।,3
পাহাড় থেকে নেমে আসা ঝর্ণার পানিতে থাকতে তো ভালই লাগে । কিন্ত পিচ্ছিল পাথরে পিছলে পরতে পরতে অবস্থা শেষ .,2
মানুষগুলা ফেইসবুক থেকে অনেক দূরের. সো ট্যাগের ঝামেলা নাই,5
"দুনিয়ার জীবনেই জান্নাতের উর্বর জমিতে বীজ বপন করতে হবেঃ  হযরত ইবনে মাসঊদ রাদিয়াল্লাহু আনহু থেকে বর্ণিত। তিনি বলেন রাসূলুল্লাহ সাল্লাল্লাহু আলাইহি ওয়া সাল্লাম বলেছেনঃ যে রাতে আমাকে ভ্রমণ করানো হল মিরাজের রাত্রিতে সে রাতে ইবরাহীমের সাথে আমার সাক্ষাত হল। সে বলল, হে মুহাম্মাদ, আমার পক্ষ থেকে তুমি তোমার উম্মতকে সালাম জানিয়ো। এবং তাদেরকে এ সংবাদ প্রদান কর যে, জান্নাতের মাটি হবে উর্বর, পানি হবে মিষ্ট এবং তা হবে লেকবিশিষ্ট। আর...",1
ভোলাগঞ্জ (সিলেট) থেকে মেঘ ওয়ার (বৃষ্টি) পর থাকি রাস্তার অবস্থা বাদ (খারাপ)। রাস্তাত আঁটু (হাঁটু) সমান পানি। খালে দিয়া গাড়ি লইয়া যাইতে অয়। এর লাগি গাড়ির ভাড়া ডাবল (দ্বিগুণ) দিতে অইবো। সিলেট-ভোলাগঞ্জ সড়কের অবস্থা খুবই খারাপ। বৃষ্টি হলে কাদা-পানিতে একেবারে একাকার হয়ে যায়। একারণে আকাশে মেঘ.,2
পথ হারাবো বলেই এবার পথে নেমেছি. সোজা পথের ধাঁধায় আমি অনেক ধেঁধেছি।।,5
দেখা হয় নাই চক্ষু মেলিয়া ঘর হতে শুধু দুই পা ফেলিয়া একটি ধানের শিষের উপরে একটি শিশিরবিন্দু .,2
ম্যারাথন মধ্যবর্তী সল্যুশন ক্লাসের কিছু অংশ ),0
"তুমি মোর জীবনের ভাবনা হৃদয়ে সুকের দোলা নিজেকে আমি ভুলতে পারি তুমাকে জাবেনা ভুলা দু্ঃখ সুকের পাখি তুমি তুমার কাচায় এই বুক, সাড়া জীবন নয়ন জেন দেকে তুমার এই মুক কন্ঠে আমার দাও পরিয়ে সুহাগের মিলন মালা, তুমি মোর জীবনের ভাবনা হৃদয়ে সুকের দোলা।",5
"২ টা টার্মটেস্টে ০ নিয়া আজ থেকে সমাজবিজ্ঞান পড়তে বসুম, সবার কাছে দোয়াপারথী, সবাই বলুন আমিন।",5
.নেতৃবৃন্দ ও প্রশাসনের উদ্দেশ্যে সাবেক ছাত্রনেতা দিনারের আহবান.,4
আহা আজ এবসন্তে,5
"সমাজ সংশোধনে খতিব ও ইমামগণের ভূমিকা ডাঃ গাজী মুহাম্মাদ নজরুল ইসলাম সমস্ত প্রশংসা আল্লাহ তায়ালার জন্য যিনি রব্বুল আলামীন। দুরুদ ও সালাম রসূলুল্লাহ্ সল্লালাহু আলাইহি ওয়াসাল্লাম এর প্রতি যিনি রহমাতুল্লিল আলামীন, তাঁর পরিবারবর্গ, সাহাবায়ে কিরাম রাদিয়াল্লাহু আনহুম এবং সালেহীন রগণের প্রতি। আমরা...",1
দিনে দিনে খশিয়া পড়িবে রঙ্গিলা দালানের মাটি গো সাই জি কোন রঙ্গে। বাল্য না কাল গেল হাসিতে খেলিতে জৌবন কাল গেল রঙ্গে।.,5
এরা গরুরে মা কয়  এরা যে গরুর বাচ্চা তা এ ছবিরথেকে বুঝা যায়,3
মালুরা সব সময় আমাদের ধর্ম নিয়ে আর মক্কা মদিনা আমাদের    শেষ নবী কে নিয়ে  আজে বাজে ফেসবুকে ছবি দেয় মালুরা মানুষ নাকি শয়তান আসলে মালুরা জারজ,3
অবশেষে ট্রেন ধরতে পারছি। ফগ আমাদের ১০ ঘন্টার জার্নিকে ২০ ঘন্টা করে ফেলছে। অভিনব উপায়ে আমরা চেন্নাই এক্সপ্রেসে চেন্নাই যাই। #ইন্ডিয়াপেস্রিফফগচালতাহে,2
তুমি আমার কাছে নেই আজ সময় টা খুব এলোমেলো একটা ঝড় এসে আমাদের যেন পরস্পরের থেকে অনেক দুরে ঠেলে দিয়েছে তবুও আমার সকাল টা শুরু হয় তোমায় দেখে আমি আজও প্রার্থনা করি. তোমার দিন টা শুভ হোক তুমি ভালো থেকো.,5
